Fd,Family,Type,Laddr,Raddr,Status,Pid,FamilyString,Timestamp,TypeString
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 135
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,984,IPv4,2026-01-28T05:59:29Z,TCP
0,2,1,"{
 ""IP"": ""192.168.100.11"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-01-28T05:59:32Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5040
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4284,IPv4,2026-01-28T05:59:53Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,2088,IPv4,2026-01-28T06:01:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49694
}",ESTAB,2088,IPv4,2026-01-28T06:01:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49696
}",ESTAB,2088,IPv4,2026-01-28T06:01:45Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49698
}",ESTAB,2088,IPv4,2026-01-28T06:01:49Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 50114
}",ESTAB,2088,IPv4,2026-01-28T07:06:55Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,2088,IPv4,2026-01-28T06:01:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49686
}",ESTAB,2088,IPv4,2026-01-28T06:01:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8003
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,2088,IPv4,2026-01-28T06:01:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,2088,IPv4,2026-01-28T06:01:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 50110
}",ESTAB,2088,IPv4,2026-01-28T07:05:02Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49664
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,744,IPv4,2026-01-28T05:59:29Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49665
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,604,IPv4,2026-01-28T05:59:29Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49666
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1300,IPv4,2026-01-28T05:59:32Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49667
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1328,IPv4,2026-01-28T05:59:32Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49668
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,2196,IPv4,2026-01-28T05:59:34Z,TCP
0,2,1,"{
 ""IP"": ""192.168.100.11"",
 ""Port"": 49678
}","{
 ""IP"": ""202.88.226.8"",
 ""Port"": 443
}",CLOSE_WAIT,6664,IPv4,2026-01-28T06:00:22Z,TCP
0,2,1,"{
 ""IP"": ""192.168.100.11"",
 ""Port"": 49680
}","{
 ""IP"": ""23.202.229.5"",
 ""Port"": 443
}",CLOSE_WAIT,6664,IPv4,2026-01-28T06:00:22Z,TCP
0,2,1,"{
 ""IP"": ""192.168.100.11"",
 ""Port"": 49681
}","{
 ""IP"": ""23.211.60.166"",
 ""Port"": 443
}",CLOSE_WAIT,6664,IPv4,2026-01-28T06:00:22Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49682
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,724,IPv4,2026-01-28T06:00:23Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49686
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}",ESTAB,2088,IPv4,2026-01-28T06:01:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49694
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,2088,IPv4,2026-01-28T06:01:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49696
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,2088,IPv4,2026-01-28T06:01:45Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49698
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,2088,IPv4,2026-01-28T06:01:49Z,TCP
0,2,1,"{
 ""IP"": ""192.168.100.11"",
 ""Port"": 49707
}","{
 ""IP"": ""142.251.10.188"",
 ""Port"": 5228
}",ESTAB,1512,IPv4,2026-01-28T06:01:55Z,TCP
