Pid,Ppid,Name,Threads,Username,OwnerSid,CommandLine,Exe,TokenIsElevated,CreateTime,User,System,IoCounters,Memory,PebBaseAddress,IsWow64,StartTime,EndTime
" 1056"," 724",svchost.exe,3,NT AUTHORITY\LOCAL SERVICE,S-1-5-19,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts,C:\Windows\System32\svchost.exe,false,2026-01-28T05:59:30.6661104Z,0,0,"{
 ""ReadOperationCount"": 0,
 ""WriteOperationCount"": 0,
 ""OtherOperationCount"": 33,
 ""ReadTransferCount"": 0,
 ""WriteTransferCount"": 0,
 ""OtherTransferCount"": 110
}","{
 ""PageFaultCount"": 1555,
 ""PeakWorkingSetSize"": 5898240,
 ""WorkingSetSize"": 5189632,
 ""QuotaPeakPagedPoolUsage"": 62736,
 ""QuotaPagedPoolUsage"": 60768,
 ""QuotaPeakNonPagedPoolUsage"": 8136,
 ""QuotaNonPagedPoolUsage"": 7728,
 ""PagefileUsage"": 1339392,
 ""PeakPagefileUsage"": 1523712
}",336204865536,false,2026-01-28T05:59:30.6661104Z,0001-01-01T00:00:00Z
" 1060"," 724",svchost.exe,1,NT AUTHORITY\LOCAL SERVICE,S-1-5-19,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc,C:\Windows\System32\svchost.exe,false,2026-01-28T05:59:30.6661112Z,0.046875,0,"{
 ""ReadOperationCount"": 0,
 ""WriteOperationCount"": 0,
 ""OtherOperationCount"": 77,
 ""ReadTransferCount"": 0,
 ""WriteTransferCount"": 0,
 ""OtherTransferCount"": 270
}","{
 ""PageFaultCount"": 3557,
 ""PeakWorkingSetSize"": 12623872,
 ""WorkingSetSize"": 12070912,
 ""QuotaPeakPagedPoolUsage"": 116696,
 ""QuotaPagedPoolUsage"": 116376,
 ""QuotaPeakNonPagedPoolUsage"": 10600,
 ""QuotaNonPagedPoolUsage"": 9784,
 ""PagefileUsage"": 1941504,
 ""PeakPagefileUsage"": 2310144
}",96731549696,false,2026-01-28T05:59:30.6661112Z,0001-01-01T00:00:00Z
" 108"," 4",Registry,4,NT AUTHORITY\SYSTEM,S-1-5-18,,,false,2026-01-28T05:59:16.7761892Z,0,0.40625,"{
 ""ReadOperationCount"": 4,
 ""WriteOperationCount"": 1116,
 ""OtherOperationCount"": 279,
 ""ReadTransferCount"": 16384,
 ""WriteTransferCount"": 32182272,
 ""OtherTransferCount"": 3875
}","{
 ""PageFaultCount"": 35697,
 ""PeakWorkingSetSize"": 79278080,
 ""WorkingSetSize"": 19181568,
 ""QuotaPeakPagedPoolUsage"": 236896,
 ""QuotaPagedPoolUsage"": 167904,
 ""QuotaPeakNonPagedPoolUsage"": 10232,
 ""QuotaNonPagedPoolUsage"": 8296,
 ""PagefileUsage"": 4575232,
 ""PeakPagefileUsage"": 8413184
}",0,false,2026-01-28T05:59:16.7761892Z,0001-01-01T00:00:00Z
" 1200"," 724",svchost.exe,2,NT AUTHORITY\SYSTEM,S-1-5-18,C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc,C:\Windows\System32\svchost.exe,true,2026-01-28T05:59:31.1915893Z,0.03125,0.15625,"{
 ""ReadOperationCount"": 2,
 ""WriteOperationCount"": 0,
 ""OtherOperationCount"": 5642,
 ""ReadTransferCount"": 8192,
 ""WriteTransferCount"": 0,
 ""OtherTransferCount"": 167834
}","{
 ""PageFaultCount"": 4264,
 ""PeakWorkingSetSize"": 14868480,
 ""WorkingSetSize"": 13668352,
 ""QuotaPeakPagedPoolUsage"": 167600,
 ""QuotaPagedPoolUsage"": 160880,
 ""QuotaPeakNonPagedPoolUsage"": 14960,
 ""QuotaNonPagedPoolUsage"": 13728,
 ""PagefileUsage"": 3362816,
 ""PeakPagefileUsage"": 3862528
}",34420932608,false,2026-01-28T05:59:31.1915893Z,0001-01-01T00:00:00Z
" 1264"," 4708",thorium.exe,9,DEVBOX\dev,S-1-5-21-3859055682-1022291564-1296124166-1000,"""C:\Users\dev\AppData\Local\Thorium\Application\thorium.exe"" --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --field-trial-handle=1980,i,9618310540848860198,12043710111697164074,262144 --variations-seed-version --mojo-platform-channel-handle=6472 /prefetch:8",C:\Users\dev\AppData\Local\Thorium\Application\thorium.exe,false,2026-01-28T06:07:10.7019624Z,0.03125,0.046875,"{
 ""ReadOperationCount"": 231,
 ""WriteOperationCount"": 249,
 ""OtherOperationCount"": 303,
 ""ReadTransferCount"": 38640,
 ""WriteTransferCount"": 66160,
 ""OtherTransferCount"": 758
}","{
 ""PageFaultCount"": 8338,
 ""PeakWorkingSetSize"": 29712384,
 ""WorkingSetSize"": 25788416,
 ""QuotaPeakPagedPoolUsage"": 840440,
 ""QuotaPagedPoolUsage"": 838280,
 ""QuotaPeakNonPagedPoolUsage"": 21464,
 ""QuotaNonPagedPoolUsage"": 19368,
 ""PagefileUsage"": 11657216,
 ""PeakPagefileUsage"": 11960320
}",561114333184,false,2026-01-28T06:07:10.7019624Z,0001-01-01T00:00:00Z
" 1276"," 724",svchost.exe,2,NT AUTHORITY\SYSTEM,S-1-5-18,C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection,C:\Windows\System32\svchost.exe,true,2026-01-28T05:59:33.3777667Z,0.015625,0.109375,"{
 ""ReadOperationCount"": 0,
 ""WriteOperationCount"": 0,
 ""OtherOperationCount"": 1187,
 ""ReadTransferCount"": 0,
 ""WriteTransferCount"": 0,
 ""OtherTransferCount"": 311415
}","{
 ""PageFaultCount"": 3760,
 ""PeakWorkingSetSize"": 13328384,
 ""WorkingSetSize"": 12619776,
 ""QuotaPeakPagedPoolUsage"": 101616,
 ""QuotaPagedPoolUsage"": 101184,
 ""QuotaPeakNonPagedPoolUsage"": 14928,
 ""QuotaNonPagedPoolUsage"": 12424,
 ""PagefileUsage"": 2195456,
 ""PeakPagefileUsage"": 2576384
}",28114694144,false,2026-01-28T05:59:33.3777667Z,0001-01-01T00:00:00Z
" 1300"," 724",svchost.exe,7,NT AUTHORITY\LOCAL SERVICE,S-1-5-19,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog,C:\Windows\System32\svchost.exe,true,2026-01-28T05:59:31.3428783Z,0.453125,1.328125,"{
 ""ReadOperationCount"": 1633,
 ""WriteOperationCount"": 739,
 ""OtherOperationCount"": 11648,
 ""ReadTransferCount"": 9496960,
 ""WriteTransferCount"": 15381992,
 ""OtherTransferCount"": 564262
}","{
 ""PageFaultCount"": 13586,
 ""PeakWorkingSetSize"": 22179840,
 ""WorkingSetSize"": 15785984,
 ""QuotaPeakPagedPoolUsage"": 101968,
 ""QuotaPagedPoolUsage"": 86312,
 ""QuotaPeakNonPagedPoolUsage"": 15768,
 ""QuotaNonPagedPoolUsage"": 14896,
 ""PagefileUsage"": 15273984,
 ""PeakPagefileUsage"": 19070976
}",345592487936,false,2026-01-28T05:59:31.3428783Z,0001-01-01T00:00:00Z
" 1328"," 724",svchost.exe,8,NT AUTHORITY\SYSTEM,S-1-5-18,C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule,C:\Windows\System32\svchost.exe,true,2026-01-28T05:59:31.4724924Z,0.28125,0.59375,"{
 ""ReadOperationCount"": 1,
 ""WriteOperationCount"": 156,
 ""OtherOperationCount"": 2692,
 ""ReadTransferCount"": 6,
 ""WriteTransferCount"": 3598656,
 ""OtherTransferCount"": 112466
}","{
 ""PageFaultCount"": 5098,
 ""PeakWorkingSetSize"": 15982592,
 ""WorkingSetSize"": 14843904,
 ""QuotaPeakPagedPoolUsage"": 266296,
 ""QuotaPagedPoolUsage"": 258320,
 ""QuotaPeakNonPagedPoolUsage"": 22208,
 ""QuotaNonPagedPoolUsage"": 17720,
 ""PagefileUsage"": 6168576,
 ""PeakPagefileUsage"": 6868992
}",368991178752,false,2026-01-28T05:59:31.4724924Z,0001-01-01T00:00:00Z
" 1368"," 724",svchost.exe,6,NT AUTHORITY\SYSTEM,S-1-5-18,C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager,C:\Windows\System32\svchost.exe,true,2026-01-28T05:59:31.6417193Z,0.25,0.3125,"{
 ""ReadOperationCount"": 0,
 ""WriteOperationCount"": 0,
 ""OtherOperationCount"": 119,
 ""ReadTransferCount"": 0,
 ""WriteTransferCount"": 0,
 ""OtherTransferCount"": 1380
}","{
 ""PageFaultCount"": 4342,
 ""PeakWorkingSetSize"": 11427840,
 ""WorkingSetSize"": 10039296,
 ""QuotaPeakPagedPoolUsage"": 92032,
 ""QuotaPagedPoolUsage"": 90416,
 ""QuotaPeakNonPagedPoolUsage"": 12392,
 ""QuotaNonPagedPoolUsage"": 10736,
 ""PagefileUsage"": 2740224,
 ""PeakPagefileUsage"": 3031040
}",1032237682688,false,2026-01-28T05:59:31.6417193Z,0001-01-01T00:00:00Z
" 1376"," 724",svchost.exe,2,NT AUTHORITY\SYSTEM,S-1-5-18,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain,C:\Windows\System32\svchost.exe,true,2026-01-28T05:59:31.6417371Z,0.53125,3.828125,"{
 ""ReadOperationCount"": 3,
 ""WriteOperationCount"": 517,
 ""OtherOperationCount"": 9779,
 ""ReadTransferCount"": 310079,
 ""WriteTransferCount"": 5939987,
 ""OtherTransferCount"": 128804
}","{
 ""PageFaultCount"": 86908,
 ""PeakWorkingSetSize"": 19947520,
 ""WorkingSetSize"": 14135296,
 ""QuotaPeakPagedPoolUsage"": 129176,
 ""QuotaPagedPoolUsage"": 108184,
 ""QuotaPeakNonPagedPoolUsage"": 13720,
 ""QuotaNonPagedPoolUsage"": 12160,
 ""PagefileUsage"": 2768896,
 ""PeakPagefileUsage"": 11079680
}",234269716480,false,2026-01-28T05:59:31.6417371Z,0001-01-01T00:00:00Z
