Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
984,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-01-28T05:59:29Z
4,System,IPv4,TCP,LISTEN,192.168.100.11,139,0.0.0.0,0,2026-01-28T05:59:32Z
4284,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-01-28T05:59:53Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-01-28T06:01:44Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49692,2026-01-28T06:01:44Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49694,2026-01-28T06:01:44Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49696,2026-01-28T06:01:45Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49698,2026-01-28T06:01:49Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-01-28T06:01:44Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,49686,2026-01-28T06:01:44Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2026-01-28T06:01:44Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2026-01-28T06:01:44Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,50110,2026-01-28T07:05:02Z
744,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-01-28T05:59:29Z
604,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-01-28T05:59:29Z
1300,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-01-28T05:59:32Z
1328,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-01-28T05:59:32Z
2196,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-01-28T05:59:34Z
6664,LockApp.exe,IPv4,TCP,CLOSE_WAIT,192.168.100.11,49678,202.88.226.8,443,2026-01-28T06:00:22Z
6664,LockApp.exe,IPv4,TCP,CLOSE_WAIT,192.168.100.11,49680,23.202.229.5,443,2026-01-28T06:00:22Z
6664,LockApp.exe,IPv4,TCP,CLOSE_WAIT,192.168.100.11,49681,23.211.60.166,443,2026-01-28T06:00:22Z
724,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49682,0.0.0.0,0,2026-01-28T06:00:23Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,49686,127.0.0.1,8001,2026-01-28T06:01:44Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,49692,127.0.0.1,8000,2026-01-28T06:01:44Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,49694,127.0.0.1,8000,2026-01-28T06:01:44Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,49696,127.0.0.1,8000,2026-01-28T06:01:45Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,49698,127.0.0.1,8000,2026-01-28T06:01:49Z
1512,thorium.exe,IPv4,TCP,ESTAB,192.168.100.11,49707,142.251.10.188,5228,2026-01-28T06:01:55Z
0,,IPv4,TCP,TIME_WAIT,192.168.100.11,50099,192.168.100.12,8888,1601-01-01T00:00:00Z
4944,splunkd.exe,IPv4,TCP,ESTAB,192.168.100.11,50100,192.168.100.12,8888,2026-01-28T07:03:40Z
2640,svchost.exe,IPv4,TCP,ESTAB,192.168.100.11,50106,4.213.25.242,443,2026-01-28T07:04:52Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,50107,127.0.0.1,8889,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,50108,127.0.0.1,8889,1601-01-01T00:00:00Z
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,50109,127.0.0.1,8889,1601-01-01T00:00:00Z
1512,thorium.exe,IPv4,TCP,ESTAB,127.0.0.1,50110,127.0.0.1,8889,2026-01-28T07:05:02Z
2088,velociraptor-v0.75.6-windows-amd64.exe,IPv4,TCP,ESTAB,192.168.100.11,50112,23.58.31.18,80,2026-01-28T07:06:33Z
